,long,lat,name,end,start,distance
38649,-89.8467,38.5200,USW00013802,2022,1948,8.680709543710147
23633,-90.3431,39.1025,USC00114489,2022,1940,11.573928797217611
38412,-90.1572,38.5714,USW00003960,2022,1997,12.360562043621915
38775,-90.3736,38.7525,USW00013994,2022,1938,16.98895359672203
26905,-90.5233,38.6853,USC00237398,2022,1975,18.85710662490222
23638,-89.9469,37.9836,USC00114629,2022,1974,20.68382067361583
26904,-90.5139,38.8142,USC00237397,2022,1893,27.320476018648254
38416,-90.6558,38.6572,USW00003966,2022,1987,27.36961023475794
23536,-89.8697,39.2881,USC00111280,2022,1893,30.121358449910108
23511,-90.1489,38.8669,USC00110137,2022,1943,30.62057688469511
